import_id,first_name,last_name,display_name,normalized_name,sport,is_professional,is_nickname,alternate_names,needs_review
40,Muhammad,Ali,Muhammad Ali,muhammad ali,Boxing,true,false,"{""Cassius Clay""}",false
41,Desmond,Trufant,Desmond Trufant,desmond trufant,Football,true,false,{},false
42,Robert,Alford,Robert Alford,robert alford,Football,true,false,{},false
43,Ricardo,Allen,Ricardo Allen,ricardo allen,Football,true,false,{},false
44,Deion,Jones,Deion Jones,deion jones,Football,true,false,{},false
45,De'Vondre,Campbell,De'Vondre Campbell,de'vondre campbell,Football,true,false,{},false
46,Keanu,Neal,Keanu Neal,keanu neal,Football,true,false,{},false
47,Brian,Poole,Brian Poole,brian poole,Football,true,false,{},false
48,Mike,Wallace,Mike Wallace,mike wallace,Football,true,false,{},false
49,Nick,Foles,Nick Foles,nick foles,Football,true,false,{},false
50,Zach,Ertz,Zach Ertz,zach ertz,Football,true,false,{},false
51,Jay,Ajayi,Jay Ajayi,jay ajayi,Football,true,false,{},false
52,Nelson,Agholor,Nelson Agholor,nelson agholor,Football,true,false,{},false
53,DeAndre,Carter,DeAndre Carter,deandre carter,Football,true,false,{},false
54,Vic,Beasley,Vic Beasley,vic beasley,Football,true,false,{},false
55,Darren,Sproles,Darren Sproles,darren sproles,Football,true,false,{},false
56,Duke,Riley,Duke Riley,duke riley,Football,true,false,{},false
57,Damontae,Kazee,Damontae Kazee,damontae kazee,Football,true,false,{},false
58,Dallas,Goedert,Dallas Goedert,dallas goedert,Football,true,false,{},false
59,Corey,Clement,Corey Clement,corey clement,Football,true,false,{},false
60,Matt,Ryan,Matt Ryan,matt ryan,Football,true,false,{},false
61,Julio,Jones,Julio Jones,julio jones,Football,true,false,{},false
62,Logan,Paulsen,Logan Paulsen,logan paulsen,Football,true,false,{},false
63,Tevin,Coleman,Tevin Coleman,tevin coleman,Football,true,false,{},false
64,Austin,Hooper,Austin Hooper,austin hooper,Football,true,false,{},false
65,Eric,Saubert,Eric Saubert,eric saubert,Football,true,false,{},false
66,Malcolm,Jenkins,Malcolm Jenkins,malcolm jenkins,Football,true,false,{},false
67,Rodney,McLeod,Rodney McLeod,rodney mcleod,Football,true,false,{},false
68,Jordan,Hicks,Jordan Hicks,jordan hicks,Football,true,false,{},false
69,Ronald,Darby,Ronald Darby,ronald darby,Football,true,false,{},false
70,Jalen,Mills,Jalen Mills,jalen mills,Football,true,false,{},false
71,Kamu,Hill,Kamu Grugier-Hill,kamu grugier-hill,Football,true,false,{},false
72,Nate,Gerry,Nate Gerry,nate gerry,Football,true,false,{},false
73,Devonta,Freeman,Devonta Freeman,devonta freeman,Football,true,false,{},false
74,Justin,Hardy,Justin Hardy,justin hardy,Football,true,false,{},false
75,Marvin,Hall,Marvin Hall,marvin hall,Football,true,false,{},false
76,Calvin,Ridley,Calvin Ridley,calvin ridley,Football,true,false,{},false
77,Sidney,Jones,Sidney Jones,sidney jones,Football,true,false,{},false
78,Mohamed,Sanu,Mohamed Sanu,mohamed sanu,Football,true,false,{},false
79,Corey,Graham,Corey Graham,corey graham,Football,true,false,{},false
80,Foye,Oluokun,Foye Oluokun,foye oluokun,Football,true,false,{},false
81,Shelton,Gibson,Shelton Gibson,shelton gibson,Football,true,false,{},false
82,Ricky,Ortiz,Ricky Ortiz,ricky ortiz,Football,true,false,{},false
83,Deante,Burton,Deante Burton,deante burton,Football,true,false,{},false
84,Markus,Wheaton,Markus Wheaton,markus wheaton,Football,true,false,{},false
85,Rasul,Douglas,Rasul Douglas,rasul douglas,Football,true,false,{},false
86,Wendell,Smallwood,Wendell Smallwood,wendell smallwood,Football,true,false,{},false
87,LeSean,McCoy,LeSean McCoy,lesean mccoy,Football,true,false,{},false
88,Charles,Clay,Charles Clay,charles clay,Football,true,false,{},false
89,Jeremy,Kerley,Jeremy Kerley,jeremy kerley,Football,true,false,{},false
90,Kelvin,Benjamin,Kelvin Benjamin,kelvin benjamin,Football,true,false,{},false
91,Zay,Jones,Zay Jones,zay jones,Football,true,false,{},false
92,Nathan,Peterman,Nathan Peterman,nathan peterman,Football,true,false,{},false
93,Brandon,Carr,Brandon Carr,brandon carr,Football,true,false,{},false
94,Eric,Weddle,Eric Weddle,eric weddle,Football,true,false,{},false
95,Tony,Jefferson,Tony Jefferson,tony jefferson,Football,true,false,{},false
96,C.J.,Mosley,C.J. Mosley,c.j. mosley,Football,true,false,{},false
97,Za'Darius,Smith,Za'Darius Smith,za'darius smith,Football,true,false,{},false
98,Tavon,Young,Tavon Young,tavon young,Football,true,false,{},false
99,Matt,Judon,Matt Judon,matt judon,Football,true,false,{},false
100,Marlon,Humphrey,Marlon Humphrey,marlon humphrey,Football,true,false,{},false
101,Lorenzo,Alexander,Lorenzo Alexander,lorenzo alexander,Football,true,false,{},false
102,Micah,Hyde,Micah Hyde,micah hyde,Football,true,false,{},false
103,Jordan,Poyer,Jordan Poyer,jordan poyer,Football,true,false,{},false
104,Phillip,Gaines,Phillip Gaines,phillip gaines,Football,true,false,{},false
105,Tre'Davious,White,Tre'Davious White,tre'davious white,Football,true,false,{},false
106,Matt,Milano,Matt Milano,matt milano,Football,true,false,{},false
107,Tremaine,Edmunds,Tremaine Edmunds,tremaine edmunds,Football,true,false,{},false
108,Joe,Flacco,Joe Flacco,joe flacco,Football,true,false,{},false
109,Michael,Crabtree,Michael Crabtree,michael crabtree,Football,true,false,{},false
110,John,Brown,John Brown,john brown,Football,true,false,{},false
111,Nick,Boyle,Nick Boyle,nick boyle,Football,true,false,{},false
112,Maxx,Williams,Maxx Williams,maxx williams,Football,true,false,{},false
113,Alex,Collins,Alex Collins,alex collins,Football,true,false,{},false
114,Taron,Johnson,Taron Johnson,taron johnson,Football,true,false,{},false
115,Willie,Snead,Willie Snead,willie snead,Football,true,false,{},false
116,Javorius,Allen,Javorius Allen,javorius allen,Football,true,false,{},false
117,Robert,Foster,Robert Foster,robert foster,Football,true,false,{},false
118,Terrell,Suggs,Terrell Suggs,terrell suggs,Football,true,false,{},false
119,Patrick,Ricard,Patrick Ricard,patrick ricard,Football,true,false,{},false
120,Anthony,Levine,Anthony Levine,anthony levine,Football,true,false,{},false
121,Chris,Moore,Chris Moore,chris moore,Football,true,false,{},false
122,Andre,Holmes,Andre Holmes,andre holmes,Football,true,false,{},false
123,Logan,Thomas,Logan Thomas,logan thomas,Football,true,false,{},false
124,Jason,Croom,Jason Croom,jason croom,Football,true,false,{},false
125,Patrick,Onwuasor,Patrick Onwuasor,patrick onwuasor,Football,true,false,{},false
126,Chuck,Clark,Chuck Clark,chuck clark,Football,true,false,{},false
127,Rafael,Bush,Rafael Bush,rafael bush,Football,true,false,{},false
128,Tim,Williams,Tim Williams,tim williams,Football,true,false,{},false
129,Kenny,Young,Kenny Young,kenny young,Football,true,false,{},false
130,Marcus,Murphy,Marcus Murphy,marcus murphy,Football,true,false,{},false
131,Tyus,Bowser,Tyus Bowser,tyus bowser,Football,true,false,{},false
132,Mark,Andrews,Mark Andrews,mark andrews,Football,true,false,{},false
133,Chris,Ivory,Chris Ivory,chris ivory,Football,true,false,{},false
134,Josh,Allen,Josh Allen,josh allen,Football,true,false,{},false
135,Kenneth,Dixon,Kenneth Dixon,kenneth dixon,Football,true,false,{},false
136,Lamar,Jackson,Lamar Jackson,lamar jackson,Football,true,false,{},false
137,Janarion,Grant,Janarion Grant,janarion grant,Football,true,false,{},false
138,Anthony,Averett,Anthony Averett,anthony averett,Football,true,false,{},false
139,Maurice,Canady,Maurice Canady,maurice canady,Football,true,false,{},false
140,Chris,Board,Chris Board,chris board,Football,true,false,{},false
141,Ben,Roethlisberger,Ben Roethlisberger,ben roethlisberger,Football,true,false,{},false
142,Antonio,Brown,Antonio Brown,antonio brown,Football,true,false,{},false
143,Justin,Hunter,Justin Hunter,justin hunter,Football,true,false,{},false
144,Jesse,James,Jesse James,jesse james,Football,true,false,{},false
145,James,Conner,James Conner,james conner,Football,true,false,{},false
146,JuJu,Schuster,JuJu Smith-Schuster,juju smith-schuster,Football,true,false,{},false
147,Jamie,Collins,Jamie Collins,jamie collins,Football,true,false,{},false
148,Terrance,Mitchell,Terrance Mitchell,terrance mitchell,Football,true,false,{},false
149,Damarious,Randall,Damarious Randall,damarious randall,Football,true,false,{},false
150,Joe,Schobert,Joe Schobert,joe schobert,Football,true,false,{},false
151,Derrick,Kindred,Derrick Kindred,derrick kindred,Football,true,false,{},false
152,Briean,Calhoun,Briean Boddy-Calhoun,briean boddy-calhoun,Football,true,false,{},false
153,Denzel,Ward,Denzel Ward,denzel ward,Football,true,false,{},false
154,James,Washington,James Washington,james washington,Football,true,false,{},false
155,Genard,Avery,Genard Avery,genard avery,Football,true,false,{},false
156,Morgan,Burnett,Morgan Burnett,morgan burnett,Football,true,false,{},false
157,Joe,Haden,Joe Haden,joe haden,Football,true,false,{},false
158,Jon,Bostic,Jon Bostic,jon bostic,Football,true,false,{},false
159,Vince,Williams,Vince Williams,vince williams,Football,true,false,{},false
160,Bud,Dupree,Bud Dupree,bud dupree,Football,true,false,{},false
161,Artie,Burns,Artie Burns,artie burns,Football,true,false,{},false
162,Sean,Davis,Sean Davis,sean davis,Football,true,false,{},false
163,Mike,Hilton,Mike Hilton,mike hilton,Football,true,false,{},false
164,T.J.,Watt,T.J. Watt,t.j. watt,Football,true,false,{},false
165,Tyrod,Taylor,Tyrod Taylor,tyrod taylor,Football,true,false,{},false
166,Josh,Gordon,Josh Gordon,josh gordon,Football,true,false,{},false
167,Darren,Fells,Darren Fells,darren fells,Football,true,false,{},false
168,Jarvis,Landry,Jarvis Landry,jarvis landry,Football,true,false,{},false
169,Carlos,Hyde,Carlos Hyde,carlos hyde,Football,true,false,{},false
170,David,Njoku,David Njoku,david njoku,Football,true,false,{},false
171,Duke,Johnson,Duke Johnson,duke johnson,Football,true,false,{},false
172,Rashard,Higgins,Rashard Higgins,rashard higgins,Football,true,false,{},false
173,Terrell,Edmunds,Terrell Edmunds,terrell edmunds,Football,true,false,{},false
174,Roosevelt,Nix,Roosevelt Nix,roosevelt nix,Football,true,false,{},false
175,Xavier,Grimble,Xavier Grimble,xavier grimble,Football,true,false,{},false
176,Christian,Kirksey,Christian Kirksey,christian kirksey,Football,true,false,{},false
177,Jabrill,Peppers,Jabrill Peppers,jabrill peppers,Football,true,false,{},false
178,Antonio,Callaway,Antonio Callaway,antonio callaway,Football,true,false,{},false
179,Anthony,Chickillo,Anthony Chickillo,anthony chickillo,Football,true,false,{},false
180,Nick,Chubb,Nick Chubb,nick chubb,Football,true,false,{},false
181,Ryan,Switzer,Ryan Switzer,ryan switzer,Football,true,false,{},false
182,Cameron,Sutton,Cameron Sutton,cameron sutton,Football,true,false,{},false
183,Seth,DeValve,Seth DeValve,seth devalve,Football,true,false,{},false
184,T.J.,Carrie,T.J. Carrie,t.j. carrie,Football,true,false,{},false
185,Derrick,Willies,Derrick Willies,derrick willies,Football,true,false,{},false
186,Dre,Kirkpatrick,Dre Kirkpatrick,dre kirkpatrick,Football,true,false,{},false
187,Preston,Brown,Preston Brown,preston brown,Football,true,false,{},false
188,Clayton,Fejedelem,Clayton Fejedelem,clayton fejedelem,Football,true,false,{},false
189,Nick,Vigil,Nick Vigil,nick vigil,Football,true,false,{},false
190,William,Jackson,William Jackson,william jackson,Football,true,false,{},false
191,Jordan,Evans,Jordan Evans,jordan evans,Football,true,false,{},false
192,Jessie,Bates,Jessie Bates,jessie bates,Football,true,false,{},false
193,T.Y.,Hilton,T.Y. Hilton,t.y. hilton,Football,true,false,{},false
194,Andrew,Luck,Andrew Luck,andrew luck,Football,true,false,{},false
195,Jack,Doyle,Jack Doyle,jack doyle,Football,true,false,{},false
196,Eric,Ebron,Eric Ebron,eric ebron,Football,true,false,{},false
197,Ryan,Grant,Ryan Grant,ryan grant,Football,true,false,{},false
198,Jordan,Wilkins,Jordan Wilkins,jordan wilkins,Football,true,false,{},false
199,Darqueze,Dennard,Darqueze Dennard,darqueze dennard,Football,true,false,{},false
200,Chester,Rogers,Chester Rogers,chester rogers,Football,true,false,{},false
201,Zach,Pascal,Zach Pascal,zach pascal,Football,true,false,{},false
202,Nyheim,Hines,Nyheim Hines,nyheim hines,Football,true,false,{},false
203,Andy,Dalton,Andy Dalton,andy dalton,Football,true,false,{},false
204,A.J.,Green,A.J. Green,a.j. green,Football,true,false,{},false
205,Tyler,Eifert,Tyler Eifert,tyler eifert,Football,true,false,{},false
206,Giovani,Bernard,Giovani Bernard,giovani bernard,Football,true,false,{},false
207,Tyler,Boyd,Tyler Boyd,tyler boyd,Football,true,false,{},false
208,John,Ross,John Ross,john ross,Football,true,false,{},false
209,Clayton,Geathers,Clayton Geathers,clayton geathers,Football,true,false,{},false
210,Matthias,Farley,Matthias Farley,matthias farley,Football,true,false,{},false
211,Quincy,Wilson,Quincy Wilson,quincy wilson,Football,true,false,{},false
212,Nate,Hairston,Nate Hairston,nate hairston,Football,true,false,{},false
213,Anthony,Walker,Anthony Walker,anthony walker,Football,true,false,{},false
214,Kenny,Moore,Kenny Moore II,kenny moore ii,Football,true,false,{},false
215,Darius,Leonard,Darius Leonard,darius leonard,Football,true,false,{},false
216,Tyler,Kroft,Tyler Kroft,tyler kroft,Football,true,false,{},false
217,Erik,Swoope,Erik Swoope,erik swoope,Football,true,false,{},false
218,C.J.,Uzomah,C.J. Uzomah,c.j. uzomah,Football,true,false,{},false
219,Joe,Mixon,Joe Mixon,joe mixon,Football,true,false,{},false
220,Malik,Hooker,Malik Hooker,malik hooker,Football,true,false,{},false
221,Skai,Moore,Skai Moore,skai moore,Football,true,false,{},false
222,Shawn,Williams,Shawn Williams,shawn williams,Football,true,false,{},false
223,Zaire,Franklin,Zaire Franklin,zaire franklin,Football,true,false,{},false
224,Hardy,Nickerson,Hardy Nickerson,hardy nickerson,Football,true,false,{},false
225,Tra,Carson,Tra Carson,tra carson,Football,true,false,{},false
226,Najee,Goode,Najee Goode,najee goode,Football,true,false,{},false
227,Josh,Malone,Josh Malone,josh malone,Football,true,false,{},false
228,Alex,Erickson,Alex Erickson,alex erickson,Football,true,false,{},false
229,Wesley,Woodyard,Wesley Woodyard,wesley woodyard,Football,true,false,{},false
230,Brian,Orakpo,Brian Orakpo,brian orakpo,Football,true,false,{},false
231,Kenny,Vaccaro,Kenny Vaccaro,kenny vaccaro,Football,true,false,{},false
232,Logan,Ryan,Logan Ryan,logan ryan,Football,true,false,{},false
233,Malcolm,Butler,Malcolm Butler,malcolm butler,Football,true,false,{},false
234,Kevin,Byard,Kevin Byard,kevin byard,Football,true,false,{},false
235,Aaron,Wallace,Aaron Wallace,aaron wallace,Football,true,false,{},false
236,Jayon,Brown,Jayon Brown,jayon brown,Football,true,false,{},false
237,Adoree',Jackson,Adoree' Jackson,adoree' jackson,Football,true,false,{},false
238,Danny,Amendola,Danny Amendola,danny amendola,Football,true,false,{},false
239,Ryan,Tannehill,Ryan Tannehill,ryan tannehill,Football,true,false,{},false
240,Kenny,Stills,Kenny Stills,kenny stills,Football,true,false,{},false
241,Kenyan,Drake,Kenyan Drake,kenyan drake,Football,true,false,{},false
242,Jakeem,Grant,Jakeem Grant,jakeem grant,Football,true,false,{},false
243,Mike,Gesicki,Mike Gesicki,mike gesicki,Football,true,false,{},false
244,Dion,Lewis,Dion Lewis,dion lewis,Football,true,false,{},false
245,Delanie,Walker,Delanie Walker,delanie walker,Football,true,false,{},false
246,Rishard,Matthews,Rishard Matthews,rishard matthews,Football,true,false,{},false
247,Marcus,Mariota,Marcus Mariota,marcus mariota,Football,true,false,{},false
248,Tajae,Sharpe,Tajae Sharpe,tajae sharpe,Football,true,false,{},false
249,Corey,Davis,Corey Davis,corey davis,Football,true,false,{},false
250,Reshad,Jones,Reshad Jones,reshad jones,Football,true,false,{},false
251,T.J.,McDonald,T.J. McDonald,t.j. mcdonald,Football,true,false,{},false
252,Kiko,Alonso,Kiko Alonso,kiko alonso,Football,true,false,{},false
253,Bobby,McCain,Bobby McCain,bobby mccain,Football,true,false,{},false
254,Xavien,Howard,Xavien Howard,xavien howard,Football,true,false,{},false
255,Raekwon,McMillan,Raekwon McMillan,raekwon mcmillan,Football,true,false,{},false
256,Minkah,Fitzpatrick,Minkah Fitzpatrick,minkah fitzpatrick,Football,true,false,{},false
257,Kamalei,Correa,Kamalei Correa,kamalei correa,Football,true,false,{},false
258,Sharif,Finch,Sharif Finch,sharif finch,Football,true,false,{},false
259,A.J.,Derby,A.J. Derby,a.j. derby,Football,true,false,{},false
260,Albert,Wilson,Albert Wilson,albert wilson,Football,true,false,{},false
261,Derrick,Morgan,Derrick Morgan,derrick morgan,Football,true,false,{},false
262,Daren,Bates,Daren Bates,daren bates,Football,true,false,{},false
263,LeShaun,Sims,LeShaun Sims,leshaun sims,Football,true,false,{},false
264,Frank,Gore,Frank Gore,frank gore,Football,true,false,{},false
265,Will,Compton,Will Compton,will compton,Football,true,false,{},false
266,Durham,Smythe,Durham Smythe,durham smythe,Football,true,false,{},false
267,Derrick,Henry,Derrick Henry,derrick henry,Football,true,false,{},false
268,Jonnu,Smith,Jonnu Smith,jonnu smith,Football,true,false,{},false
269,Blaine,Gabbert,Blaine Gabbert,blaine gabbert,Football,true,false,{},false
270,Taywan,Taylor,Taywan Taylor,taywan taylor,Football,true,false,{},false
271,Luke,Stocker,Luke Stocker,luke stocker,Football,true,false,{},false
272,Jerome,Baker,Jerome Baker,jerome baker,Football,true,false,{},false
273,Chase,Allen,Chase Allen,chase allen,Football,true,false,{},false
274,Darius,Jennings,Darius Jennings,darius jennings,Football,true,false,{},false
275,Torry,McTyer,Torry McTyer,torry mctyer,Football,true,false,{},false
276,Kareem,Jackson,Kareem Jackson,kareem jackson,Football,true,false,{},false
277,Johnathan,Joseph,Johnathan Joseph,johnathan joseph,Football,true,false,{},false
278,Whitney,Mercilus,Whitney Mercilus,whitney mercilus,Football,true,false,{},false
279,Tyrann,Mathieu,Tyrann Mathieu,tyrann mathieu,Football,true,false,{},false
280,Aaron,Colvin,Aaron Colvin,aaron colvin,Football,true,false,{},false
281,Kevin,Johnson,Kevin Johnson,kevin johnson,Football,true,false,{},false
282,Zach,Cunningham,Zach Cunningham,zach cunningham,Football,true,false,{},false
283,Justin,Reid,Justin Reid,justin reid,Football,true,false,{},false
284,Rob,Gronkowski,Rob Gronkowski,rob gronkowski,Football,true,false,{},false
285,Chris,Hogan,Chris Hogan,chris hogan,Football,true,false,{},false
286,Rex,Burkhead,Rex Burkhead,rex burkhead,Football,true,false,{},false
287,James,White,James White,james white,Football,true,false,{},false
288,Phillip,Dorsett,Phillip Dorsett,phillip dorsett,Football,true,false,{},false
289,Benardrick,McKinney,Benardrick McKinney,benardrick mckinney,Football,true,false,{},false
290,Dwayne,Allen,Dwayne Allen,dwayne allen,Football,true,false,{},false
291,Lamar,Miller,Lamar Miller,lamar miller,Football,true,false,{},false
292,DeAndre,Hopkins,DeAndre Hopkins,deandre hopkins,Football,true,false,{},false
293,Bruce,Ellington,Bruce Ellington,bruce ellington,Football,true,false,{},false
294,Deshaun,Watson,Deshaun Watson,deshaun watson,Football,true,false,{},false
295,Jordan,Thomas,Jordan Thomas,jordan thomas,Football,true,false,{},false
296,Vyncint,Smith,Vyncint Smith,vyncint smith,Football,true,false,{},false
297,Patrick,Chung,Patrick Chung,patrick chung,Football,true,false,{},false
298,Devin,McCourty,Devin McCourty,devin mccourty,Football,true,false,{},false
299,Dont'a,Hightower,Dont'a Hightower,dont'a hightower,Football,true,false,{},false
300,Stephon,Gilmore,Stephon Gilmore,stephon gilmore,Football,true,false,{},false
301,Eric,Rowe,Eric Rowe,eric rowe,Football,true,false,{},false
302,Elandon,Roberts,Elandon Roberts,elandon roberts,Football,true,false,{},false
303,Jonathan,Jones,Jonathan Jones,jonathan jones,Football,true,false,{},false
304,Jordan,Akins,Jordan Akins,jordan akins,Football,true,false,{},false
305,Duron,Harmon,Duron Harmon,duron harmon,Football,true,false,{},false
306,Kyle,Van,Kyle Van Noy,kyle van noy,Football,true,false,{},false
307,Ryan,Griffin,Ryan Griffin,ryan griffin,Football,true,false,{},false
308,Ja'Whaun,Bentley,Ja'Whaun Bentley,ja'whaun bentley,Football,true,false,{},false
309,Riley,McCarron,Riley McCarron,riley mccarron,Football,true,false,{},false
310,James,Develin,James Develin,james develin,Football,true,false,{},false
311,Jeremy,Hill,Jeremy Hill,jeremy hill,Football,true,false,{},false
312,Sammie,Coates,Sammie Coates,sammie coates,Football,true,false,{},false
313,Dylan,Cole,Dylan Cole,dylan cole,Football,true,false,{},false
314,Tyler,Ervin,Tyler Ervin,tyler ervin,Football,true,false,{},false
315,Cordarrelle,Patterson,Cordarrelle Patterson,cordarrelle patterson,Football,true,false,{},false
316,Alfred,Blue,Alfred Blue,alfred blue,Football,true,false,{},false
317,Jason,McCourty,Jason McCourty,jason mccourty,Football,true,false,{},false
318,Ryan,Fitzpatrick,Ryan Fitzpatrick,ryan fitzpatrick,Football,true,false,{},false
319,Mike,Evans,Mike Evans,mike evans,Football,true,false,{},false
320,Cameron,Brate,Cameron Brate,cameron brate,Football,true,false,{},false
321,Peyton,Barber,Peyton Barber,peyton barber,Football,true,false,{},false
322,O.J.,Howard,O.J. Howard,o.j. howard,Football,true,false,{},false
323,Chris,Godwin,Chris Godwin,chris godwin,Football,true,false,{},false
324,Kurt,Coleman,Kurt Coleman,kurt coleman,Football,true,false,{},false
325,Demario,Davis,Demario Davis,demario davis,Football,true,false,{},false
326,Vonn,Bell,Vonn Bell,vonn bell,Football,true,false,{},false
327,Ken,Crawley,Ken Crawley,ken crawley,Football,true,false,{},false
328,Marshon,Lattimore,Marshon Lattimore,marshon lattimore,Football,true,false,{},false
329,Alex,Anzalone,Alex Anzalone,alex anzalone,Football,true,false,{},false
330,Marcus,Williams,Marcus Williams,marcus williams,Football,true,false,{},false
331,Jacquizz,Rodgers,Jacquizz Rodgers,jacquizz rodgers,Football,true,false,{},false
332,Adam,Humphries,Adam Humphries,adam humphries,Football,true,false,{},false
333,Patrick,Robinson,Patrick Robinson,patrick robinson,Football,true,false,{},false
334,DeSean,Jackson,DeSean Jackson,desean jackson,Football,true,false,{},false
335,Chris,Conte,Chris Conte,chris conte,Football,true,false,{},false
336,Lavonte,David,Lavonte David,lavonte david,Football,true,false,{},false
337,Adarius,Taylor,Adarius Taylor,adarius taylor,Football,true,false,{},false
338,Kwon,Alexander,Kwon Alexander,kwon alexander,Football,true,false,{},false
339,Vernon,Hargreaves,Vernon Hargreaves III,vernon hargreaves iii,Football,true,false,{},false
340,Justin,Evans,Justin Evans,justin evans,Football,true,false,{},false
341,M.J.,Stewart,M.J. Stewart,m.j. stewart,Football,true,false,{},false
342,Drew,Brees,Drew Brees,drew brees,Football,true,false,{},false
343,Zach,Line,Zach Line,zach line,Football,true,false,{},false
344,Josh,Hill,Josh Hill,josh hill,Football,true,false,{},false
345,Michael,Thomas,Michael Thomas,michael thomas,Football,true,false,{},false
346,Alvin,Kamara,Alvin Kamara,alvin kamara,Football,true,false,{},false
347,Tre'Quan,Smith,Tre'Quan Smith,tre'quan smith,Football,true,false,{},false
348,Ryan,Smith,Ryan Smith,ryan smith,Football,true,false,{},false
349,Benjamin,Watson,Benjamin Watson,benjamin watson,Football,true,false,{},false
350,Ted,Ginn,Ted Ginn,ted ginn,Football,true,false,{},false
351,Austin,Carr,Austin Carr,austin carr,Football,true,false,{},false
352,Carlton,Davis,Carlton Davis,carlton davis,Football,true,false,{},false
353,Freddie,Martino,Freddie Martino,freddie martino,Football,true,false,{},false
354,Alan,Cross,Alan Cross,alan cross,Football,true,false,{},false
355,Antony,Auclair,Antony Auclair,antony auclair,Football,true,false,{},false
356,Manti,Te'o,Manti Te'o,manti te'o,Football,true,false,{},false
357,A.J.,Klein,A.J. Klein,a.j. klein,Football,true,false,{},false
358,Tommylee,Lewis,Tommylee Lewis,tommylee lewis,Football,true,false,{},false
359,Mike,Gillislee,Mike Gillislee,mike gillislee,Football,true,false,{},false
360,Jonathan,Williams,Jonathan Williams,jonathan williams,Football,true,false,{},false
361,Niles,Paul,Niles Paul,niles paul,Football,true,false,{},false
362,Blake,Bortles,Blake Bortles,blake bortles,Football,true,false,{},false
363,Austin,Jenkins,Austin Seferian-Jenkins,austin seferian-jenkins,Football,true,false,{},false
